site,Observer,date,year,month,day,time,hour,minutes,interval,num.arrive,num.depart,net.arrival
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:04,19,4,19:00,3,,3
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:05,19,5,19:00,13,,13
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:06,19,6,19:00,9,,9
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:08,19,8,19:00,77,,77
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:09,19,9,19:00,119,,119
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:10,19,10,19:00,28,,28
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:11,19,11,19:00,163,,163
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:12,19,12,19:00,7,,7
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:13,19,13,19:00,106,,106
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:16,19,16,19:00,295,,295
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:17,19,17,19:00,134,,134
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:18,19,18,19:00,15,,15
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:19,19,19,19:00,250,,250
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:20,19,20,19:00,45,,45
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:21,19,21,19:00,49,,49
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:22,19,22,19:00,73,,73
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:24,19,24,19:00,174,,174
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:25,19,25,19:00,12,,12
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:26,19,26,19:00,74,,74
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:27,19,27,19:00,64,,64
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:28,19,28,19:00,21,,21
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:30,19,30,19:30,20,,20
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:31,19,31,19:30,152,,152
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:32,19,32,19:30,50,,50
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:33,19,33,19:30,75,,75
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:34,19,34,19:30,24,,24
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:35,19,35,19:30,102,,102
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:38,19,38,19:30,74,,74
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:39,19,39,19:30,57,,57
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:41,19,41,19:30,237,,237
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:43,19,43,19:30,36,,36
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:43,19,43,19:30,13,,13
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:44,19,44,19:30,36,,36
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:45,19,45,19:30,38,,38
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:46,19,46,19:30,93,,93
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:48,19,48,19:30,88,,88
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:48,19,48,19:30,104,,104
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:49,19,49,19:30,119,,119
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:50,19,50,19:30,83,,83
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:51,19,51,19:30,99,,99
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:52,19,52,19:30,78,,78
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:54,19,54,19:30,375,,375
front_beach,Maina Handmaker,5-May-19,2019,5,5,19:56,19,56,19:30,0,,0
front_beach,Maina Handmaker,5-May-19,2019,5,5,20:00,20,0,20:00,19,,19
front_beach,Maina Handmaker,5-May-19,2019,5,5,20:01,20,1,20:00,,,0
front_beach,Maina Handmaker,5-May-19,2019,5,5,20:04,20,4,20:00,86,,86
front_beach,Maina Handmaker,5-May-19,2019,5,5,20:05,20,5,20:00,21,,21
front_beach,Maina Handmaker,5-May-19,2019,5,5,20:06,20,6,20:00,57,,57
front_beach,Maina Handmaker,5-May-19,2019,5,5,20:07,20,7,20:00,82,,82
front_beach,Maina Handmaker,5-May-19,2019,5,5,20:08,20,8,20:00,257,,257
front_beach,Maina Handmaker,5-May-19,2019,5,5,20:08,20,8,20:00,75,,75
front_beach,Maina Handmaker,5-May-19,2019,5,5,20:10,20,10,20:00,205,,205
front_beach,Maina Handmaker,5-May-19,2019,5,5,20:11,20,11,20:00,44,,44
front_beach,Maina Handmaker,5-May-19,2019,5,5,20:12,20,12,20:00,19,,19
front_beach,Maina Handmaker,5-May-19,2019,5,5,20:13,20,13,20:00,53,,53
front_beach,Maina Handmaker,5-May-19,2019,5,5,20:16,20,16,20:00,39,,39
front_beach,Maina Handmaker,5-May-19,2019,5,5,20:17,20,17,20:00,14,,14
front_beach,Maina Handmaker,5-May-19,2019,5,5,20:19,20,19,20:00,12,,12
front_beach,Maina Handmaker,5-May-19,2019,5,5,20:25,20,25,20:00,0,,0
front_beach,Maina Handmaker,5-May-19,2019,5,5,20:30,20,30,20:30,0,,0
front_beach,Maina Handmaker,5-May-19,2019,5,5,20:35,20,35,20:30,0,,0
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,18:08,18,8,18:00,1,,1
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,18:22,18,22,18:00,100,,100
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,18:30,18,30,18:30,90,,90
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,18:33,18,33,18:30,70,,70
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,18:33,18,33,18:30,18,,18
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,18:33,18,33,18:30,28,,28
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,18:39,18,39,18:30,4,,4
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,18:40,18,40,18:30,170,,170
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,18:42,18,42,18:30,10,,10
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,18:44,18,44,18:30,56,,56
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,18:45,18,45,18:30,40,,40
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,18:45,18,45,18:30,10,,10
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,18:47,18,47,18:30,40,,40
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:05,19,5,19:00,10,,10
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:07,19,7,19:00,9,,9
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:09,19,9,19:00,4,,4
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:11,19,11,19:00,7,,7
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:12,19,12,19:00,1,,1
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:14,19,14,19:00,5,,5
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:15,19,15,19:00,5,,5
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:21,19,21,19:00,17,,17
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:22,19,22,19:00,9,,9
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:23,19,23,19:00,9,,9
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:25,19,25,19:00,80,,80
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:25,19,25,19:00,21,,21
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:28,19,28,19:00,11,,11
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:31,19,31,19:30,2,,2
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:33,19,33,19:30,6,,6
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:34,19,34,19:30,8,,8
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:35,19,35,19:30,4,,4
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:35,19,35,19:30,4,,4
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:36,19,36,19:30,12,,12
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:38,19,38,19:30,14,,14
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:39,19,39,19:30,20,,20
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:42,19,42,19:30,3,,3
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:44,19,44,19:30,16,,16
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:44,19,44,19:30,40,,40
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:44,19,44,19:30,22,,22
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:45,19,45,19:30,11,,11
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:48,19,48,19:30,16,,16
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:49,19,49,19:30,5,,5
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:50,19,50,19:30,10,,10
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:50,19,50,19:30,29,,29
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:51,19,51,19:30,5,,5
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:51,19,51,19:30,5,,5
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:52,19,52,19:30,6,,6
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:52,19,52,19:30,17,,17
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:53,19,53,19:30,45,,45
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:54,19,54,19:30,8,,8
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:55,19,55,19:30,19,,19
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:56,19,56,19:30,48,,48
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:56,19,56,19:30,17,,17
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:57,19,57,19:30,8,,8
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,19:59,19,59,19:30,10,,10
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,20:01,20,1,20:00,3,,3
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,20:02,20,2,20:00,93,,93
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,20:03,20,3,20:00,23,,23
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,20:04,20,4,20:00,29,,29
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,20:04,20,4,20:00,4,,4
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,20:04,20,4,20:00,7,,7
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,20:05,20,5,20:00,11,,11
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,20:05,20,5,20:00,10,,10
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,20:08,20,8,20:00,25,,25
botany_point,Matt King & John Hutchinson,16-May-19,2019,5,16,20:10,20,10,20:00,78,,78
